"서울특별시","공립",10,4,6,-,-,10,-,76,33,2996,1063,2482,909,514,154,51,9,-,-,1257,475,1054,416,203,59,1006,347,902,324,104,23,10,4,6,-,-,10,-,76,33,3011,1135,2505,982,506,153,52,9,-,-,1220,487,1031,430,189,57,908,294,795,271,113,23,10,4,6,-,-,10,-,81,36,3060,1198,2537,1023,523,175,53,7,-,-,1237,501,1029,418,208,83,929,342,830,315,99,27,10,10,4,6,-,10,-,-,10,-,116,80,36,3161,1287,2634,1095,527,192,54,54,7,-,-,1367,581,1172,513,195,68,918,367,819,336,99,31,10,10,4,6,-,10,-,-,10,-,118,81,37,3274,1380,2774,1189,500,191,58,58,10,-,-,1340,576,1156,503,184,73,985,402,877,375,108,27,10,10,4,6,-,10,-,-,10,-,121,81,40,3210,1361,2707,1156,503,205,58,58,11,-,-,1290,565,1107,478,183,87,1053,453,943,420,110,33
"서울특별시","사립",366,128,219,19,15,351,21,2722,1323,118530,65226,93369,54072,25161,11154,2463,619,399,229,46425,25775,37700,21741,8725,4034,37179,20237,31799,17961,5380,2276,368,127,222,19,15,353,21,2675,1309,117709,65267,93023,54075,24686,11192,2443,642,383,233,46938,26163,38067,22022,8871,4141,37230,20606,31672,18252,5558,2354,361,126,216,19,15,346,21,2723,1336,119497,66860,93917,54944,25580,11916,2627,700,344,209,48586,27586,38926,22948,9660,4638,37792,21301,32240,18904,5552,2397,362,362,125,217,20,362,-,15,347,21,4091,2732,1359,123726,69711,96604,56863,27122,12848,2752,2439,665,313,192,50705,28791,40352,23698,10353,5093,37002,20575,31410,18154,5592,2421,365,365,125,219,21,365,-,16,349,21,4107,2744,1363,127218,72913,99109,59172,28109,13741,2612,2286,648,326,195,51861,30410,41451,25039,10410,5371,38585,21733,32723,19164,5862,2569,369,369,127,221,21,369,-,16,353,21,3887,2610,1277,122591,71839,96761,58604,25830,13235,2510,2155,624,355,214,49883,29231,40596,24409,9287,4822,37427,21774,32134,19185,5293,2589
"부산광역시","계",75,23,49,3,-,75,-,880,410,19769,10268,15832,8522,3937,1746,230,33,56,34,7943,4029,6281,3278,1662,751,6131,3127,5181,2740,950,387,74,23,48,3,-,74,-,844,409,19509,10152,15454,8292,4055,1860,233,45,53,33,8108,4131,6255,3274,1853,857,6151,3079,5146,2699,1005,380,72,23,45,4,-,72,-,820,408,19468,10315,15282,8343,4186,1972,275,52,58,35,8100,4305,6291,3439,1809,866,6090,3103,5029,2674,1061,429,72,72,23,44,5,72,-,-,72,-,1242,824,418,19564,10441,15315,8460,4249,1981,389,332,59,57,39,8140,4218,6242,3340,1898,878,5902,2989,4908,2586,994,403,71,71,22,44,5,71,-,-,71,-,1241,822,419,19667,10597,15309,8516,4358,2081,383,324,62,59,41,8310,4412,6417,3504,1893,908,6290,3278,5112,2769,1178,509,75,75,24,46,5,75,-,-,75,-,1212,803,409,19074,10278,14901,8249,4173,2029,290,279,57,11,6,8040,4250,6212,3355,1828,895,5951,3120,4937,2685,1014,435
"부산광역시","국립",25,9,15,1,-,25,-,441,234,12287,5915,9782,4939,2505,976,147,13,20,11,4933,2291,3908,1885,1025,406,3817,1722,3240,1536,577,186,25,9,15,1,-,25,-,435,235,12110,5855,9589,4822,2521,1033,138,16,18,10,4999,2344,3886,1888,1113,456,3730,1674,3104,1489,626,185,25,9,14,2,-,25,-,436,234,12110,6022,9526,4937,2584,1085,131,14,19,11,4998,2470,3892,1998,1106,472,3679,1662,3026,1446,653,216,25,25,9,13,3,25,-,-,25,-,675,437,238,12285,6275,9609,5139,2676,1136,202,181,22,21,14,5107,2535,3921,2033,1186,502,3691,1713,3099,1503,592,210,24,24,8,13,3,24,-,-,24,-,667,431,236,12259,6300,9520,5128,2739,1172,200,178,22,22,19,5071,2506,3922,2041,1149,465,3907,1871,3202,1612,705,259,24,24,8,13,3,24,-,-,24,-,630,410,220,11388,5795,8898,4709,2490,1086,149,148,21,1,1,4743,2344,3672,1862,1071,482,3493,1718,2950,1535,543,183
"부산광역시","공립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"부산광역시","사립",50,14,34,2,-,50,-,439,176,7482,4353,6050,3583,1432,770,83,20,36,23,3010,1738,2373,1393,637,345,2314,1405,1941,1204,373,201,49,14,33,2,-,49,-,409,174,7399,4297,5865,3470,1534,827,95,29,35,23,3109,1787,2369,1386,740,401,2421,1405,2042,1210,379,195,47,14,31,2,-,47,-,384,174,7358,4293,5756,3406,1602,887,144,38,39,24,3102,1835,2399,1441,703,394,2411,1441,2003,1228,408,213,47,47,14,31,2,47,-,-,47,-,567,387,180,7279,4166,5706,3321,1573,845,187,151,37,36,25,3033,1683,2321,1307,712,376,2211,1276,1809,1083,402,193,47,47,14,31,2,47,-,-,47,-,574,391,183,7408,4297,5789,3388,1619,909,183,146,40,37,22,3239,1906,2495,1463,744,443,2383,1407,1910,1157,473,250,51,51,16,33,2,51,-,-,51,-,582,393,189,7686,4483,6003,3540,1683,943,141,131,36,10,5,3297,1906,2540,1493,757,413,2458,1402,1987,1150,471,252
"대구광역시","계",42,10,32,-,-,42,-,413,154,12415,6415,10148,5478,2267,937,167,25,-,-,4350,2322,3546,1962,804,360,3600,1848,3173,1669,427,179,37,10,27,-,-,37,-,408,158,12104,6315,9673,5314,2431,1001,174,25,-,-,4570,2390,3695,2014,875,376,3725,1985,3294,1812,431,173,35,8,27,-,-,35,-,412,168,12193,6458,9562,5378,2631,1080,256,32,-,-,4843,2588,3847,2136,996,452,3758,1988,3269,1789,489,199,35,35,8,27,-,35,-,-,35,-,589,417,172,12237,6571,9573,5514,2664,1057,310,310,39,-,-,4535,2477,3674,2130,861,347,3306,1771,2814,1569,492,202,34,34,8,26,-,34,-,-,34,-,596,423,173,12149,6519,9545,5484,2604,1035,314,314,38,-,-,4687,2565,3803,2168,884,397,3706,2009,3170,1788,536,221,46,46,13,31,2,46,-,-,46,-,587,423,164,12122,6692,9483,5617,2639,1075,353,353,41,-,-,4542,2535,3668,2150,874,385,3547,1885,3000,1652,547,233
"대구광역시","국립",15,5,10,-,-,15,-,264,105,8494,3978,6701,3297,1793,681,154,17,-,-,2780,1345,2211,1110,569,235,2289,1055,1970,939,319,116,15,5,10,-,-,15,-,266,108,8173,3839,6312,3163,1861,676,160,17,-,-,2971,1369,2356,1148,615,221,2440,1140,2108,1022,332,118,13,3,10,-,-,13,-,271,118,8196,3935,6210,3223,1986,712,240,23,-,-,3118,1528,2441,1260,677,268,2434,1151,2060,1006,374,145,13,13,3,10,-,13,-,-,13,-,410,289,121,8504,4138,6405,3403,2099,735,291,291,29,-,-,3233,1583,2543,1328,690,255,2153,1017,1768,878,385,139,15,15,4,11,-,15,-,-,15,-,419,296,123,8642,4185,6533,3441,2109,744,296,296,30,-,-,3292,1632,2632,1373,660,259,2400,1174,2030,1039,370,135,17,17,5,12,-,17,-,-,17,-,398,283,115,8494,4273,6422,3511,2072,762,337,337,34,-,-,3163,1613,2521,1355,642,258,2247,1087,1915,966,332,121
"대구광역시","공립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대구광역시","사립",27,5,22,-,-,27,-,149,49,3921,2437,3447,2181,474,256,13,8,-,-,1570,977,1335,852,235,125,1311,793,1203,730,108,63,22,5,17,-,-,22,-,142,50,3931,2476,3361,2151,570,325,14,8,-,-,1599,1021,1339,866,260,155,1285,845,1186,790,99,55,22,5,17,-,-,22,-,141,50,3997,2523,3352,2155,645,368,16,9,-,-,1725,1060,1406,876,319,184,1324,837,1209,783,115,54,22,22,5,17,-,22,-,-,22,-,179,128,51,3733,2433,3168,2111,565,322,19,19,10,-,-,1302,894,1131,802,171,92,1153,754,1046,691,107,63,19,19,4,15,-,19,-,-,19,-,177,127,50,3507,2334,3012,2043,495,291,18,18,8,-,-,1395,933,1171,795,224,138,1306,835,1140,749,166,86,29,29,8,19,2,29,-,-,29,-,189,140,49,3628,2419,3061,2106,567,313,16,16,7,-,-,1379,922,1147,795,232,127,1300,798,1085,686,215,112
